State,District,Subdistt,T,Town.Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
10,237,1516,"10,237,1516",0,0,0,SUB-DISTRICT,Kawakol,Rural,23718,143439,72416,71023,27314,14166,13148,29288,14885,14403,765,349,416,54714,33985,20729,88725,38431,50294,50418,33087,17331,26903,19988,6915,8893,7116,1777,13108,9501,3607,1135,727,408,3767,2644,1123,23515,13099,10416,3250,1766,1484,16181,9488,6693,1340,498,842,2744,1347,1397,19925,11734,8191,2739,1564,1175,14253,8621,5632,1014,427,587,1919,1122,797,3590,1365,2225,511,202,309,1928,867,1061,326,71,255,825,225,600,93021,39329,53692
10,237,1517,"10,237,1517",0,0,0,SUB-DISTRICT,Roh,Rural,24492,162507,83964,78543,28910,14833,14077,43483,22448,21035,48,23,25,78844,48127,30717,83663,35837,47826,59304,39885,19419,37345,28050,9295,14577,11281,3296,15022,10718,4304,1313,975,338,6433,5076,1357,21959,11835,10124,3068,1608,1460,15090,8120,6970,1064,514,550,2737,1593,1144,18716,10230,8486,2531,1354,1177,13134,7169,5965,773,396,377,2278,1311,967,3243,1605,1638,537,254,283,1956,951,1005,291,118,173,459,282,177,103203,44079,59124
10,237,1518,"10,237,1518",0,0,0,SUB-DISTRICT,Gobindpur,Rural,14684,95454,48475,46979,17283,8791,8492,28301,14257,14044,64,31,33,45395,27679,17716,50059,20796,29263,33816,22544,11272,18243,15246,2997,8191,7123,1068,6317,4983,1334,545,367,178,3190,2773,417,15573,7298,8275,3634,1144,2490,9502,4982,4520,814,254,560,1623,918,705,13287,6256,7031,3247,937,2310,7898,4254,3644,654,225,429,1488,840,648,2286,1042,1244,387,207,180,1604,728,876,160,29,131,135,78,57,61638,25931,35707
10,237,1519,"10,237,1519",0,0,0,SUB-DISTRICT,Akbarpur,Rural,34824,237292,122796,114496,41480,21272,20208,69858,36005,33853,67,37,30,119298,71530,47768,117994,51266,66728,91121,59835,31286,60797,44146,16651,17417,13397,4020,31614,21177,10437,1485,1044,441,10281,8528,1753,30324,15689,14635,5839,2705,3134,16218,8191,8027,1032,455,577,7235,4338,2897,25795,13380,12415,5053,2368,2685,13953,6876,7077,744,370,374,6045,3766,2279,4529,2309,2220,786,337,449,2265,1315,950,288,85,203,1190,572,618,146171,62961,83210
10,237,1520,"10,237,1520",0,0,0,SUB-DISTRICT,Hisua,Rural,16712,108489,55773,52716,19705,10220,9485,31416,16068,15348,72,40,32,53844,32713,21131,54645,23060,31585,39706,26268,13438,26740,19639,7101,11267,9412,1855,11328,7086,4242,679,410,269,3466,2731,735,12966,6629,6337,2607,1082,1525,8460,4395,4065,534,244,290,1365,908,457,10531,5795,4736,1961,910,1051,7058,3931,3127,396,184,212,1116,770,346,2435,834,1601,646,172,474,1402,464,938,138,60,78,249,138,111,68783,29505,39278
10,237,1521,"10,237,1521",0,0,0,SUB-DISTRICT,Narhat,Rural,16554,112042,57453,54589,19911,10189,9722,30189,15249,14940,27,16,11,57641,34919,22722,54401,22534,31867,42700,27843,14857,19873,14932,4941,5395,4509,886,7440,5213,2227,971,492,479,6067,4718,1349,22827,12911,9916,3859,2784,1075,13997,7847,6150,1962,729,1233,3009,1551,1458,19416,11420,7996,3272,2495,777,11906,6913,4993,1579,621,958,2659,1391,1268,3411,1491,1920,587,289,298,2091,934,1157,383,108,275,350,160,190,69342,29610,39732
10,237,1522,"10,237,1522",0,0,0,SUB-DISTRICT,Meskaur,Rural,15028,94358,47681,46677,17075,8678,8397,24607,12478,12129,26,15,11,45813,27910,17903,48545,19771,28774,30975,19921,11054,12144,8850,3294,4458,3538,920,5177,3467,1710,497,362,135,2012,1483,529,18831,11071,7760,4343,2738,1605,11811,6751,5060,619,363,256,2058,1219,839,14666,8854,5812,3161,2132,1029,9417,5444,3973,453,273,180,1635,1005,630,4165,2217,1948,1182,606,576,2394,1307,1087,166,90,76,423,214,209,63383,27760,35623
10,237,1523,"10,237,1523",0,0,0,SUB-DISTRICT,Sirdala,Rural,25437,178472,91592,86880,32596,16529,16067,62626,31978,30648,65,40,25,87094,53608,33486,91378,37984,53394,71364,43902,27462,40117,28493,11624,14842,11113,3729,17346,11578,5768,1558,1006,552,6371,4796,1575,31247,15409,15838,6856,2169,4687,18838,10084,8754,1754,804,950,3799,2352,1447,23289,11686,11603,5457,1665,3792,13727,7507,6220,1202,630,572,2903,1884,1019,7958,3723,4235,1399,504,895,5111,2577,2534,552,174,378,896,468,428,107108,47690,59418
10,237,1524,"10,237,1524",0,0,0,SUB-DISTRICT,Rajauli,Rural,19870,136056,70141,65915,24200,12445,11755,39549,20300,19249,80,41,39,63748,39189,24559,72308,30952,41356,52636,33710,18926,34977,24701,10276,11374,8401,2973,13841,9601,4240,1859,998,861,7903,5701,2202,17659,9009,8650,2509,1314,1195,10083,5321,4762,1491,551,940,3576,1823,1753,14145,7563,6582,2031,1089,942,8484,4586,3898,917,371,546,2713,1517,1196,3514,1446,2068,478,225,253,1599,735,864,574,180,394,863,306,557,83420,36431,46989
10,236,1487,"10,236,1487",0,0,0,SUB-DISTRICT,Konch,Rural,29420,201920,105286,96634,37531,19313,18218,45715,23686,22029,51,26,25,111457,68383,43074,90463,36903,53560,74805,48653,26152,37063,26548,10515,8790,6912,1878,18590,12711,5879,1823,1093,730,7860,5832,2028,37742,22105,15637,6385,3602,2783,21686,13105,8581,2751,1236,1515,6920,4162,2758,30400,18087,12313,5353,2982,2371,17554,10851,6703,1651,784,867,5842,3470,2372,7342,4018,3324,1032,620,412,4132,2254,1878,1100,452,648,1078,692,386,127115,56633,70482
